EN	gloss	categories	root_level	assigned_level
see you later	after-meet	Verbs;People and society	1	1
credit; debt	after-money	People and society	3	
credit card	after-money-card	Made things;People and society	3	
next; the one after	after-sequence	General heads	3	3
in the future	after-time	Time direction	1	4
recover; get back; retrieve	again-get	Verbs	3	3
recall; recollect; call to mind	again-know	Verbs	3	3
relearn; study again	again-learn	Verbs	4	
redo; remake; do again	again-make	Verbs	3	
repeat; say again	again-say	Verbs	3	3
review; re-examine; look over again	again-see	Verbs	3	
reconsider; rethink; think over	again-think	Verbs	4	
lightning	air-electric	Nature	4	
fly; flight	air-go	Verbs	3	
weather	air-manner	Nature	3	
smell	air-taste	Body and life	4	
airplane	air-vehicle	Made things	3	3
airport	air-vehicle-place	Places, arts, appearance	3	3
election	all-choose	People and society;Verbs	4	
number; numeral; digit	amount-say	Quantity	3	4
museum	art-home	Places, arts, appearance	5	5
return; come back	back-come	Verbs;Space and direction	4	5
return (something); give back; hand back	back-give	Verbs	4	
return; go back	back-go	Verbs;Space and direction	4	4
change (money returned)	back-money	People and society;Quantity	4	
reply; answer; respond; response	back-say	Verbs	4	
steal	bad-get	Verbs	2	
unlucky; unfortunate; unfortunately	bad-if	Qualities	4	4
ugly	bad-see	Qualities;Places, arts, appearance	2	
problem; trouble	bad-thing	General heads	2	2
reservation; booking	before-agree	Verbs	5	
ready; prepared	before-finish	Qualities	1	1
prepare; get ready; arrange	before-make	Verbs	2	2
previous; preceding; former; the one before	before-sequence	General heads	3	3
in the past	before-time	Time direction	1	4
corner (of a street); turn (in a road)	bend-place	Space and direction;Places, arts, appearance	4	
gale; strong wind	big-air	Nature	3	3
rage	big-anger	Feelings	5	
war	big-fight	People and society;Verbs	4	
laugh	big-happy-mouth	Feelings;Body and life	4	5
university; college	big-learn-place	Places, arts, appearance	4	
love; adore; be in love with	big-like	Feelings;Verbs	2	2
expensive; costly; pricey	big-money	Qualities;People and society	3	
grief	big-not-happy	Feelings	1	
storm; downpour	big-rain	Nature	4	
loud	big-sound	Qualities	4	
astonishment	big-surprise	Feelings	5	
sea	big-water	Nature	1	2
beach; seashore	big-water-edge	Nature;Places, arts, appearance	4	4
egg	bird-child	Food;Nature	5	5
flock	bird-group	Nature	5	5
poultry; chicken (meat)	bird-meat	Food	5	5
black market	black-buy-place	Places, arts, appearance;People and society	4	
coffee	black-drink	Food	3	3
cyan	blue-green	Color	3	3
strength; strong (physically)	body-can	Qualities;Body and life	5	
allergy	body-not-agree	Body and life	5	
sport; athletics	body-play	Verbs;Body and life	5	5
knife (knife or scissors)	break-tool	Made things	5	5
shopping bag	buy-box	Made things	4	
company; corporation; firm	buy-group	People and society	4	4
business plan	buy-group-map	People and society;Made things	4	
vendor; shopkeeper	buy-person	People and society	4	
shop	buy-place	Places, arts, appearance	4	4
decision; settle; make up one's mind	choose-finish	Verbs	4	
ballot	choose-page	People and society;Made things	4	
vote; cast a ballot	choose-say	Verbs;People and society	4	
option; alternative; choice	choose-thing	General heads;Verbs	4	
outskirts	city-edge	Places, arts, appearance;Space and direction	4	
bath; bathtub	clean-box	Made things	5	
towel; washcloth	clean-cloth	Made things	5	
cleaner; housekeeper	clean-person	People and society	5	
shower; bathe	clean-rain	Made things;Body and life	5	
soap; shampoo; detergent	clean-thing	Made things	5	
silent; taciturn; tight-lipped	close-mouth	Qualities;People and society	4	
wear; be dressed in; have on	cloth-have	Verbs;Made things	4	
fitting room; changing room	cloth-try-room	Made things;Places, arts, appearance	4	
ice cream	cold-milk	Food	4	
