gloss	gloss2	category	covers	form	han	mnemonic	etymology	strokes	usage_count	Level
body	physical	Body and life	flesh	korpo	体	a *corp*se is a body	*corpo, corpus, corporal*	7	2	5
hand	arm	Body and life	finger, grasp, handle	manu	手	work a *manu*al transmission with your hand	*manu-, mano, manual*	4	2	5
head	chief	Body and life	top, leader	testa	头	your head is what gets *test*ed	*testa, tête*	5	4	4
heal	health	Body and life	cure, medicine, repair	sana	医	back to *san*e and *sani*tary	*sanare, sane, sanitary*	7	8	4
leg	foot	Body and life	walking limb	kampa	足	legs take you *camp*ing	*gamba, jambe*	7	5	4
life	alive	Body and life	live, birth, grow	viva	生	*viva* la vida!	*viva, vivo, vital*	5	2	5
mouth	opening	Body and life	lips, bodily opening	puka	口	*puck*er up	Italian bocca, Spanish boca; poka was displaced	3	4	4
sick	hurt	Body and life	ill, diseased, damaged, defective, hurting	mara	病	a night*mar*e leaves you sick	*mal, malady, malade*	10	2	5
stomach	belly	Body and life	gut, abdomen	venter	胃	food *enter*s the *venter*	Latin venter; Italian pancia	9	0	5
taste	flavor	Body and life	savor	sapor	味	delicious syrup tastes like *sap or* something	Latin sapor, Spanish sabor	8	9	4
black	dark	Color	dark-valued	nero	黒	*Nero* fiddled till Rome went black	Italian nero, Latin niger	11	2	3
blue		Color	cool hue	asur	青	*azur*e skies, for *sur*e	Spanish azul, Italian azzurro	8	2	3
green		Color	vegetal hue	verte	緑	*ver*y green, *verd*ant	Italian verde, Latin viridis	14	8	3
red		Color	warm hue	rus	赤	*rus*t is red	Latin *russus*; Italian *rosso*; French *rouge*; English *rust, ruby*	7	10	3
white	pale	Color	light-valued	anka	白	a bl*ank* paper is white	Italian *bianco*, Spanish *blanco*, minus the onset	5	7	3
yellow		Color	golden hue	yoro	黄	*yo*, that *yo*lk is yellow	Italian giallo; Latin aurum	11	10	3
anger	angry	Feelings	rage, mad, fury	raye	怒	a *rag*ing *ray* of fury	French/English *rage*; Latin *rabies* -- Spanish *rabia*, Italian *rabbia*, Portuguese *raiva*	9	3	5
happy	pleased	Feelings	glad, joy	konten	楽	*conten*t and happy	Latin contentus; Spanish feliz	13	15	1
like	enjoy	Feelings	prefer, be fond of	kusta	愛	gives me *gusto* — I like it	Spanish gustar	13	6	2
surprise	unexpected	Feelings	astonish, wonder	sorpe	奇	*sorp*rise!	Spanish *sorpresa*, Italian *sorpresa*, Portuguese *surpresa*, French/English *surprise*	8	2	5
tired	weary	Feelings	exhausted	kansa	疲	too tired — I *can'*t	Spanish cansado; Latin lassus	10	2	5
drink	beverage	Food	sip	pipe	飲	drink now, *pee-pay* for it later!	Latin bibere; Latin potare	12	7	2
food	eat	Food	meal, nourishment	komi	食	*come i*n and eat	*comer, comida*	9	41	1
fruit	result	Food	berry, seed; outcome	pomo	果	a *pom*egranate is fruit	Latin *pomum* "fruit"; Italian *pomo*, French *pomme*; English *pome*	8	14	1
grain	rice	Food	bread, staple starch	riso	米	*riso*tto is rice	*riso, rice, arroz*	6	13	3
meat		Food	flesh food, animal protein	karne	肉	*carni*vores eat meat	Latin caro, carnis	6	5	4
milk	dairy	Food	cream	raten	乳	*rotten* milk turns into delicious cheese	Italian latte, Latin lac	8	4	4
sweet	sugar	Food	dessert-quality	tuke	甘	sweet enough to *tuck* into	*dulce, dolce*	5	8	3
group	team	General heads	set, collection, crowd	men	众	a whole group of *men* forming a team	Mandarin 们 *-men*, the plural suffix; English *many*	6	31	1
manner	road	General heads	way, method, path, route	moto	方	the *moto*rway is a road	*modo, mode, method*	4	11	3
name	label	General heads	title	nomen	名	*nomen*clature is naming	Latin nomen	6	2	2
part	portion	General heads	piece, member	parte	分	*part*	*parte, part*	4	13	1
person	one who	General heads	human, agent	omo	人	h*omo* sapiens — a person	*homo, hombre, uomo*	2	50	1
place	location	General heads	area, spot	roko	所	a *rock*y place	*loco, locus, location*	8	34	1
sequence	series	General heads	order, rank, turn, position in a series	orten	序	in *ord*er	*orden, ordine, ordre, order, ordinal*	7	15	3
thing	matter	General heads	object, item	kosa	物	Spanish/Italian "cosa"	Spanish *cosa*, Italian *cosa*	8	26	1
time	occasion	General heads	when, period	tempo	时	*tempo* is time	*tempo, tiempo, temporal*	7	15	1
about	regarding	Grammar and logic	concerning, on the topic of, pertaining to	topi	件	on the *topi*c of	*topic, tópico, topique*	6	3	2
again	repeat	Grammar and logic	once more, re-	repe	又	*repe*at	Latin *repetere* — *repeat, repetir, répéter, ripetere*	2	7	3
and	with	Grammar and logic	also, plus	kum	并	*com*e with me, and also bring a plus one	Latin *cum* "with" — and our `and` covers *with*	6	22	1
but	however	Grammar and logic	although, contrast	sets	但	yes, but — he *sets* a condition	Latin *sed*	7	11	2
can	ability	Grammar and logic	able, skill, capable	kan	能	*can*	English *can*, German *kann*, Dutch/Swedish/Danish/Norwegian *kan* — all "be able", the same spelling across Germanic	10	11	2
every	all	Grammar and logic	whole, total, complete, enough	pan	全	a *pan*demic hits everyone	*pan-* (pandemic, pan-American)	6	12	3
for	in order to	Grammar and logic	purpose, recipient, for the benefit of	por	為	*pour* a drink for me	Spanish/Portuguese *por*; Latin *per, pro*	9	9	2
if	possible	Grammar and logic	maybe, chance, luck, condition	pos	可	if *pos*sible	*possible, posible, possibile, possível* — the *posse* branch that kept the sense of chance rather than ability	5	22	4
more	extra	Grammar and logic	comparative, another	mas	更	*mas*sive means more	Spanish *más*; 更 is the Chinese comparative adverb — 又 went to `again`	7	17	2
not	opposite	Grammar and logic	no, un-, negation, without	non	不	*non*-, *no*, *n*ot	Latin *non*	4	78	1
only	just	Grammar and logic	merely, sole	son	只	an only *son*	Latin *solus*, Spanish *solo*	5	2	2
or	otherwise	Grammar and logic	alternative, either	sive	或	this OR that — *sieve* one out	Latin *sive* "or else"	8	2	5
other	different	Grammar and logic	else	ar	別	arr, it's anoth*arr* pirate	Latin *alter*, Italian *altro*, Spanish *otro*	7	3	5
please	politeness	Grammar and logic	request marker	pam	乞	*pam*per me, please!	Latin *placet*, Spanish *por favor* — weak: both want a pl-/pr- onset	3	37	1
reason	because	Grammar and logic	cause; why = `what-reason`	rason	故	*reason*	Spanish *razón*, French *raison*, English *reason*	9	22	4
same	equal	Grammar and logic	like, as, similar, together	sam	同	the *sam*e, exactly equal	English *same*, Latin *similis*	6	10	3
this	current	Grammar and logic	present, the current/indicated one	tis	此	'*tis* this one here	English *this*	6	120	1
what	question	Grammar and logic	which, any, whichever	ker	何	I *care* what is what!	*quel, qual, quale*	7	61	1
yes	assent	Grammar and logic	affirm, correct-response	si	是	*si*, señor!	Spanish *si*, Italian *si*, Latin *sic* — interjection class, CV	9	14	1
true	correct	Grammar and logic	right, of course, evidently	ves	真	truly *ves*ted in the truth	Latin *verus*, Italian *vero*, Spanish *verdad*	10	18	1
box	container	Made things	closed container: box, bag, bottle, case, vessel	vaso	皿	a *vas*e is a container	*vase, vessel, vaso*	5	4	4
cloth	clothes	Made things	fabric, covering	ropa	衣	tie your clothes with this *rope*	*robe, ropa, roba*	6	4	4
door	gate	Made things	entrance, portal	porta	門	*porta*l	Latin porta, Spanish puerta	8	3	4
electric	digital	Made things	electricity, electronic, powered	vorto	電	*volt*s make it go	Italian volta, volt	13	4	4
key	lock	Made things	to lock or unlock	yave	錠	*shove* the key into the lock	Spanish llave, Italian chiave	16	2	5
map	plan	Made things	chart, diagram, layout	mapa	図	*map, a* plan for the building	English *map*, Spanish/Portuguese/Polish/Russian *mapa/mapa/mapa/карта→mapa*	7	8	3
page	document	Made things	paper, card, ticket	karta	片	buy a *card* from the gift card *cart*	*carta, card, chart*	4	7	3
picture	image	Made things	photo, drawing, film	pitur	画	*pictur*e	Spanish pintura, Latin pictura	8	3	4
room	chamber	Made things	interior space within a building	kamar	室	I feel *calmer* in my own room	Spanish camara, Italian camera	9	11	3
table	desk	Made things	counter, flat surface	tapur	机	*tap your* fingers on the table	Latin tabula; Latin mensa	6	0	5
toilet	restroom	Made things	lavatory, bathroom, WC	panyu	便	the *pan* is for *you* to use as a toilet!	Italian bagno, Spanish bano; panyo was displaced	9	1	5
tool	device	Made things	instrument, machine, utensil	uter	工	an *ut*ensil is a tool	*utensil, utile*	3	6	3
vehicle	car	Made things	craft, conveyance	karo	车	*car*	*car, carro, char*	4	27	1
metal		Material	iron, gold, refined hard material	metar	金	*metal*	Latin metallum	8	5	3
oil	grease	Material	fat	oren	油	digging for *ore 'n'* oil	Latin oleum	8	2	5
salt	salty	Material	savory mineral	sares	塩	*sa*lty *res*idue left after seawater evaporates	Latin sal, Italian sale	13	0	5
stone	mineral	Material	rock, hard natural material	rapis	岩	*rap is* hard as rock	Latin lapis; Latin petra	8	2	3
air	wind	Nature	breath, gas, sky, weather	vento	风	*vent*ilate the air	*vento, wind, ventilate*	4	9	3
animal	creature	Nature	beast	peste	匹	a *pest* is a critter	*beast, bestia*	4	17	2
bird		Nature	fowl	avis	鳥	*avi*ary, *avi*ation — birds	Latin avis	11	2	5
bug	worm	Nature	insect, spider, worm — small many-legged creature	inses	虫	*inse*ct	Spanish insecto	6	0	5
cold	ice	Nature	cool, chilled, frozen	rikus	冷	the *reek is* reduced since we froze it to ice	Latin *frigus*, *refrigerate*	7	4	4
dog	canine	Nature	canine — includes wolf, fox, coyote	kanis	犬	*canis*, *canin*e, dog	Latin canis	4	6	5
earth	ground	Nature	land, soil, floor, dirt	tera	土	*terra* firma, solid ground	*terra, terrain*	3	9	3
hot	fire	Nature	burn, heat	wo	火	*whoa*, that fire is hot!	Mandarin 火 *huo*; Japanese 火 *ho*	4	14	3
plant	flower	Nature	tree, wood	arpo	木	*arbo*retum, full of trees and other plants	*arbor, árbol, arbre*	4	14	1
rain		Nature	precipitation	ruva	雨	rain drumming on the *roof*	Spanish *lluvia*, Latin *pluvia*; restored — scored rank 43 in the corpora, above `sun`	8	9	4
sun	day	Nature	light, daytime, 24-hour period, bright	yan	日	*yan*g: the bright sunny side ☯	Mandarin 阳 *yang* "sun, bright"; Japanese 陽	4	41	1
water	liquid	Nature	fluid, wet	aku	水	*aqu*a, *aqu*atic	*aqua, agua*	4	51	1
